Date,OPP,Score,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OFF,DEF,REB,AST,TO,STL,BLK,PF,PTS
"Thu, Feb 1",vs. IND,"W, 105-109",29,6,13,46.2,3,8,37.5,1,1,100.0,0,1,1,0,1,2,0,1,16
"Tue, Jan 30",vs. UTH,"W, 103-118",10,0,4,0.0,0,1,0.0,0,0,0.0,0,0,0,1,0,0,0,1,0
"Mon, Jan 29",@ CHA,"W, 113-92",15,4,7,57.1,3,6,50.0,0,0,0.0,0,0,0,1,1,1,0,3,11
"Sat, Jan 27",vs. MIA,"W, 109-125",10,3,4,75.0,1,2,50.0,2,2,100.0,0,1,1,0,0,0,0,1,9
"Thu, Jan 25",vs. DEN,"W, 84-122",21,4,9,44.4,4,5,80.0,1,2,50.0,0,1,1,1,0,2,0,2,13
"Tue, Jan 23",@ BKN,"W, 108-103",12,3,5,60.0,2,3,66.7,0,0,0.0,0,1,1,2,0,0,1,1,8
"Sat, Jan 20",vs. TOR,"W, 100-126",13,1,4,25.0,1,3,33.3,0,0,0.0,0,0,0,1,2,0,0,1,3
"Thu, Jan 18",vs. WAS,"W, 109-113",8,1,3,33.3,0,1,0.0,3,3,100.0,0,1,1,0,0,1,0,1,5
"Wed, Jan 17",vs. HOU,"W, 94-109",11,0,4,0.0,0,3,0.0,0,0,0.0,0,1,1,1,1,0,0,1,0
"Mon, Jan 15",vs. ORL,"L, 98-94",36,8,17,47.1,4,10,40.0,0,0,0.0,0,2,2,1,1,2,1,4,20
"Sat, Jan 13",@ MEM,"W, 106-94",38,7,10,70.0,4,7,57.1,1,2,50.0,0,6,6,5,3,1,1,3,19
