Date,OPP,Score,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OFF,DEF,REB,AST,TO,STL,BLK,PF,PTS
"Fri, Dec 8",@ BOS,"L, 123-133",19,5,6,83.3,0,0,0.0,0,2,0.0,5,3,8,2,1,1,0,2,10
"Tue, Dec 5",@ MIL,"L, 122-146",27,1,2,50.0,0,0,0.0,0,0,0.0,1,3,4,3,2,2,1,2,2
"Fri, Dec 1",@ TOR,"W, 119-106",32,3,3,100.0,0,0,0.0,0,0,0.0,2,3,5,1,2,4,1,3,6
"Thu, Nov 30",vs. DET,"W, 112-118",31,2,4,50.0,0,0,0.0,2,2,100.0,6,3,9,1,1,1,1,2,6
"Tue, Nov 28",vs. CHA,"W, 91-115",33,3,6,50.0,0,0,0.0,0,0,0.0,5,5,10,0,4,2,6,1,6
"Sun, Nov 26",vs. PHO,"L, 116-113",34,1,2,50.0,0,0,0.0,1,4,25.0,5,6,11,1,1,1,1,2,3
"Fri, Nov 24",vs. MIA,"W, 98-100",20,2,4,50.0,0,0,0.0,1,4,25.0,3,4,7,0,0,2,0,2,5
"Mon, Nov 20",@ MIN,"L, 100-117",30,5,7,71.4,0,0,0.0,0,0,0.0,7,4,11,0,2,2,2,3,10
"Sat, Nov 18",@ CHA,"W, 122-108",33,2,5,40.0,0,0,0.0,0,0,0.0,11,3,14,1,3,0,3,0,4
"Fri, Nov 17",@ WAS,"W, 120-99",27,3,4,75.0,0,0,0.0,0,1,0.0,3,5,8,1,0,0,1,1,6
"Wed, Nov 15",@ ATL,"W, 116-114",31,3,3,100.0,0,0,0.0,0,0,0.0,6,9,15,0,1,3,1,0,6
