Date,OPP,Score,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OFF,DEF,REB,AST,TO,STL,BLK,PF,PTS
"Thu, Feb 1",@ UTH,"W, 127-124",18,2,7,28.6,0,2,0.0,0,0,0.0,1,8,9,0,1,0,3,1,4
"Mon, Jan 29",@ POR,"L, 104-130",19,2,4,50.0,0,2,0.0,0,0,0.0,0,5,5,1,0,1,3,5,4
"Fri, Jan 12",vs. SAC,"W, 93-112",20,4,6,66.7,2,2,100.0,1,2,50.0,2,1,3,0,2,1,4,1,11
"Wed, Jan 10",@ ATL,"L, 132-139",14,2,4,50.0,0,1,0.0,1,2,50.0,4,2,6,2,1,1,3,3,5
"Sat, Jan 6",vs. UTH,"L, 120-109",17,3,9,33.3,0,2,0.0,0,1,0.0,3,2,5,1,0,1,1,4,6
"Fri, Jan 5",vs. NYK,"L, 128-92",5,1,1,100.0,0,0,0.0,0,0,0.0,0,2,2,1,0,2,0,0,2
"Tue, Jan 2",vs. CHI,"W, 97-110",7,0,1,0.0,0,0,0.0,0,0,0.0,0,2,2,0,2,1,0,3,0
"Sat, Dec 30",@ CHI,"L, 92-105",13,2,3,66.7,0,0,0.0,1,1,100.0,2,3,5,2,1,0,0,0,5
"Fri, Dec 29",@ HOU,"W, 131-127",5,0,1,0.0,0,0,0.0,2,2,100.0,2,0,2,0,0,0,0,1,2
"Wed, Dec 27",@ ORL,"W, 112-92",16,0,1,0.0,0,0,0.0,0,0,0.0,2,5,7,1,1,1,1,2,0
"Mon, Dec 25",@ MIA,"L, 113-119",26,7,8,87.5,3,3,100.0,1,2,50.0,1,5,6,2,1,2,0,2,18
