Date,OPP,Score,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OFF,DEF,REB,AST,TO,STL,BLK,PF,PTS
"Thu, Feb 1",@ NYK,"L, 105-109",24,2,6,33.3,0,0,0.0,1,3,33.3,0,4,4,1,1,1,0,5,5
"Tue, Jan 30",@ BOS,"L, 124-129",26,7,18,38.9,2,7,28.6,1,4,25.0,1,4,5,1,3,0,1,4,17
"Fri, Jan 26",vs. PHO,"W, 131-133",18,2,6,33.3,0,2,0.0,1,1,100.0,0,3,3,2,2,0,0,2,5
"Thu, Jan 25",vs. PHI,"W, 122-134",27,7,12,58.3,3,6,50.0,3,4,75.0,3,6,9,1,1,1,2,4,20
"Tue, Jan 23",vs. DEN,"L, 114-109",37,8,18,44.4,0,5,0.0,6,7,85.7,0,6,6,1,2,1,0,3,22
"Sun, Jan 21",@ PHO,"L, 110-117",19,5,11,45.5,1,2,50.0,1,2,50.0,1,1,2,1,1,0,2,1,12
"Fri, Jan 19",@ POR,"L, 115-118",34,10,17,58.8,6,10,60.0,3,3,100.0,2,10,12,1,1,0,5,3,29
"Thu, Jan 18",@ SAC,"W, 126-121",32,6,12,50.0,1,4,25.0,5,7,71.4,0,2,2,1,1,0,1,4,18
"Mon, Jan 15",@ UTH,"L, 105-132",17,4,8,50.0,1,2,50.0,3,4,75.0,1,3,4,0,2,0,0,5,12
"Sun, Jan 14",@ DEN,"L, 109-117",26,5,11,45.5,0,4,0.0,2,3,66.7,1,3,4,1,3,2,1,5,12
"Fri, Jan 12",@ ATL,"W, 126-108",26,5,9,55.6,0,3,0.0,2,3,66.7,2,5,7,4,3,2,2,2,12
