Date,OPP,Score,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OFF,DEF,REB,AST,TO,STL,BLK,PF,PTS
"Wed, Jan 31",@ BKN,"W, 136-120",1,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0
"Sun, Jan 28",@ ORL,"L, 98-113",2,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,0,0
"Wed, Jan 24",@ DAL,"W, 132-109",4,1,2,50.0,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,0,2
"Fri, Jan 19",@ NOR,"W, 123-109",4,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0
"Thu, Jan 11",@ LAL,"W, 127-109",4,1,1,100.0,0,0,0.0,1,1,100.0,0,0,0,0,1,0,0,0,3
"Wed, Dec 27",@ HOU,"W, 129-113",16,3,6,50.0,0,3,0.0,1,1,100.0,0,6,6,0,1,0,0,1,7
"Mon, Dec 25",vs. DAL,"L, 128-114",3,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,1,0
"Fri, Dec 22",@ SAC,"L, 105-120",16,3,8,37.5,0,3,0.0,0,0,0.0,0,0,0,0,1,1,0,3,6
"Tue, Dec 19",@ POR,"L, 104-109",19,1,2,50.0,1,1,100.0,1,2,50.0,0,2,2,0,0,0,0,1,4
"Sun, Dec 17",vs. WAS,"W, 108-112",23,2,3,66.7,1,2,50.0,0,0,0.0,2,5,7,1,1,0,0,2,5
"Fri, Dec 15",vs. NYK,"L, 139-122",26,2,5,40.0,1,3,33.3,0,0,0.0,2,2,4,1,0,0,0,2,5
