Date,OPP,Score,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OFF,DEF,REB,AST,TO,STL,BLK,PF,PTS
"Wed, Jan 31",vs. CHI,"L, 117-110",9,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,1,1,1,0
"Mon, Jan 29",vs. NYK,"L, 113-92",6,0,0,0.0,0,0,0.0,0,0,0.0,1,0,1,0,0,0,1,1,0
"Fri, Jan 26",vs. HOU,"L, 138-104",7,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,1,0,1,1,2,0
"Wed, Jan 24",@ DET,"L, 106-113",7,0,0,0.0,0,0,0.0,0,0,0.0,0,2,2,0,0,0,1,3,0
"Mon, Jan 22",@ MIN,"W, 128-125",15,1,1,100.0,0,0,0.0,0,0,0.0,3,0,3,1,0,0,0,3,2
"Sat, Jan 20",vs. PHI,"L, 97-89",18,0,0,0.0,0,0,0.0,0,0,0.0,2,1,3,2,3,0,0,6,0
"Fri, Jan 19",vs. SAS,"W, 120-124",20,0,1,0.0,0,0,0.0,0,0,0.0,2,1,3,1,0,0,2,1,0
"Wed, Jan 17",@ NOR,"L, 112-132",13,1,2,50.0,0,0,0.0,2,2,100.0,1,1,2,0,1,0,1,4,4
"Sun, Jan 14",@ MIA,"L, 87-104",11,1,1,100.0,0,0,0.0,0,0,0.0,2,0,2,0,0,0,0,3,2
"Fri, Jan 12",@ SAS,"L, 99-135",19,0,4,0.0,0,0,0.0,0,0,0.0,4,3,7,2,2,0,0,6,0
"Wed, Jan 10",vs. SAC,"L, 123-98",22,1,2,50.0,0,0,0.0,0,0,0.0,1,3,4,1,1,0,1,4,2
