Date,OPP,Score,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OFF,DEF,REB,AST,TO,STL,BLK,PF,PTS
"Thu, Feb 1",vs. LAL,"L, 114-105",13,3,5,60.0,0,0,0.0,1,1,100.0,4,3,7,1,0,0,1,2,7
"Tue, Jan 30",vs. IND,"W, 124-129",14,2,3,66.7,0,0,0.0,0,1,0.0,0,1,1,1,1,0,2,1,4
"Mon, Jan 29",vs. NOR,"W, 112-118",10,2,4,50.0,0,0,0.0,0,0,0.0,0,2,2,1,1,0,1,1,4
"Sat, Jan 27",vs. LAC,"L, 115-96",12,4,4,100.0,0,0,0.0,0,0,0.0,2,3,5,1,0,0,2,0,8
"Thu, Jan 25",@ MIA,"W, 143-110",4,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,1,2,0
"Sun, Jan 21",@ HOU,"W, 116-107",3,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,1,0,2,0
"Wed, Jan 17",vs. SAS,"W, 98-117",12,2,4,50.0,0,0,0.0,2,2,100.0,4,4,8,0,0,0,2,5,6
"Thu, Jan 11",@ MIL,"L, 102-135",13,2,4,50.0,0,0,0.0,0,0,0.0,1,2,3,0,1,0,1,1,4
"Fri, Jan 5",vs. UTH,"W, 97-126",4,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,2,0
"Sun, Dec 31",@ SAS,"W, 134-101",5,2,2,100.0,0,0,0.0,1,1,100.0,0,2,2,0,0,0,1,0,5
"Fri, Dec 29",vs. TOR,"W, 118-120",14,3,3,100.0,0,0,0.0,0,0,0.0,1,4,5,1,0,0,0,0,6
