Date,OPP,Score,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OFF,DEF,REB,AST,TO,STL,BLK,PF,PTS
"Wed, Jan 31",vs. CHI,"L, 117-110",25,3,4,75.0,0,0,0.0,4,4,100.0,3,3,6,1,0,0,1,5,10
"Mon, Jan 29",vs. NYK,"L, 113-92",37,2,2,100.0,0,0,0.0,1,4,25.0,4,4,8,1,3,0,2,3,5
"Sat, Jan 27",vs. UTH,"L, 134-122",36,10,11,90.9,0,0,0.0,6,8,75.0,7,6,13,1,4,0,4,4,26
"Fri, Jan 26",vs. HOU,"L, 138-104",27,3,6,50.0,0,0,0.0,8,11,72.7,2,5,7,1,0,0,3,1,14
"Wed, Jan 24",@ DET,"L, 106-113",27,9,13,69.2,0,0,0.0,3,4,75.0,5,5,10,0,0,0,1,1,21
"Wed, Jan 17",@ NOR,"L, 112-132",31,4,5,80.0,0,0,0.0,2,2,100.0,5,7,12,2,0,0,2,2,10
"Sun, Jan 14",@ MIA,"L, 87-104",27,1,5,20.0,0,0,0.0,0,0,0.0,0,8,8,0,1,0,0,4,2
"Fri, Jan 12",@ SAS,"L, 99-135",22,5,8,62.5,0,0,0.0,2,2,100.0,5,3,8,1,0,0,1,3,12
"Wed, Jan 10",vs. SAC,"L, 123-98",26,3,5,60.0,0,0,0.0,2,2,100.0,4,5,9,3,1,0,1,3,8
"Mon, Jan 8",vs. CHI,"L, 119-112",39,5,6,83.3,0,0,0.0,0,0,0.0,1,7,8,1,0,0,3,4,10
"Fri, Jan 5",@ CHI,"L, 91-104",27,2,6,33.3,0,0,0.0,0,2,0.0,5,7,12,1,2,0,0,4,4
