Date,OPP,Score,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OFF,DEF,REB,AST,TO,STL,BLK,PF,PTS
"Wed, Jan 31",vs. DAL,"W, 87-121",23,3,7,42.9,1,5,20.0,2,2,100.0,0,0,0,3,0,0,0,5,9
"Mon, Jan 29",@ OKC,"W, 107-101",35,4,12,33.3,2,7,28.6,2,2,100.0,0,2,2,3,1,2,0,2,12
"Sat, Jan 27",@ SAS,"L, 112-113",33,4,7,57.1,3,4,75.0,0,0,0.0,1,3,4,7,1,1,0,1,11
"Thu, Jan 25",@ BKN,"W, 96-94",17,2,4,50.0,1,3,33.3,1,2,50.0,0,1,1,4,0,0,0,2,6
"Wed, Jan 24",@ WAS,"W, 118-107",31,2,4,50.0,1,3,33.3,1,2,50.0,1,4,5,5,0,1,0,2,6
"Mon, Jan 22",vs. CHA,"L, 128-125",30,6,9,66.7,4,6,66.7,2,2,100.0,0,0,0,2,1,1,0,2,18
"Sat, Jan 20",vs. OKC,"L, 102-97",19,1,3,33.3,1,2,50.0,0,0,0.0,0,5,5,2,2,1,1,1,3
"Thu, Jan 18",vs. MEM,"W, 103-118",25,3,5,60.0,1,3,33.3,0,0,0.0,0,2,2,5,2,0,0,0,7
"Wed, Jan 17",@ DET,"W, 124-117",23,3,6,50.0,1,3,33.3,0,0,0.0,0,0,0,1,0,1,1,2,7
"Sun, Jan 14",vs. LAC,"W, 105-109",20,2,6,33.3,2,5,40.0,0,0,0.0,0,0,0,1,0,0,1,4,6
"Fri, Jan 12",vs. POR,"W, 93-116",19,1,3,33.3,0,2,0.0,0,0,0.0,0,2,2,3,2,2,0,1,2
