Date,OPP,Score,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OFF,DEF,REB,AST,TO,STL,BLK,PF,PTS
"Sat, Jan 27",@ NYK,"L, 109-125",1,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0
"Thu, Jan 25",vs. BOS,"L, 143-110",7,1,4,25.0,1,2,50.0,0,0,0.0,2,1,3,0,1,0,0,0,3
"Sun, Jan 21",@ ORL,"L, 87-105",15,1,4,25.0,0,1,0.0,0,1,0.0,0,3,3,0,1,0,0,2,2
"Fri, Jan 19",vs. ATL,"L, 109-108",15,1,5,20.0,0,1,0.0,0,0,0.0,2,1,3,0,0,0,0,2,2
"Wed, Jan 17",@ TOR,"L, 97-121",21,4,9,44.4,1,2,50.0,1,2,50.0,3,4,7,2,2,0,1,1,10
"Mon, Jan 15",@ BKN,"W, 96-95",19,2,4,50.0,1,3,33.3,0,0,0.0,0,3,3,2,0,0,0,0,5
"Sun, Jan 14",vs. CHA,"W, 87-104",28,2,6,33.3,1,2,50.0,0,0,0.0,1,6,7,2,3,0,2,3,5
"Fri, Jan 12",vs. ORL,"W, 96-99",25,1,8,12.5,1,4,25.0,1,2,50.0,0,3,3,4,2,0,0,2,4
"Wed, Jan 10",vs. OKC,"L, 128-120",33,5,8,62.5,3,5,60.0,2,2,100.0,0,5,5,4,1,1,1,3,15
"Mon, Jan 8",vs. HOU,"W, 113-120",21,2,9,22.2,1,5,20.0,1,4,25.0,3,5,8,6,2,2,2,3,6
"Fri, Jan 5",@ PHO,"L, 97-113",24,1,3,33.3,1,3,33.3,0,0,0.0,1,3,4,1,0,0,0,0,3
