Date,OPP,Score,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OFF,DEF,REB,AST,TO,STL,BLK,PF,PTS
"Sat, Jan 27",vs. MIA,"W, 109-125",34,8,14,57.1,2,5,40.0,1,3,33.3,0,1,1,4,1,2,0,2,19
"Thu, Jan 25",vs. DEN,"W, 84-122",29,10,18,55.6,3,9,33.3,3,5,60.0,0,2,2,1,1,6,0,2,26
"Tue, Jan 23",@ BKN,"W, 108-103",33,3,8,37.5,0,1,0.0,4,4,100.0,1,4,5,1,3,4,2,2,10
"Sat, Jan 20",vs. TOR,"W, 100-126",37,5,11,45.5,0,3,0.0,4,4,100.0,0,7,7,1,1,1,3,2,14
"Thu, Jan 18",vs. WAS,"W, 109-113",43,6,9,66.7,3,5,60.0,4,4,100.0,0,7,7,1,1,0,2,3,19
"Wed, Jan 17",vs. HOU,"W, 94-109",43,5,10,50.0,2,5,40.0,3,3,100.0,0,5,5,0,1,4,1,2,15
"Mon, Jan 15",vs. ORL,"L, 98-94",44,5,11,45.5,3,4,75.0,4,4,100.0,1,1,2,4,2,0,0,2,17
"Sat, Jan 13",@ MEM,"W, 106-94",32,7,15,46.7,1,4,25.0,3,4,75.0,2,3,5,2,4,1,4,1,18
"Thu, Jan 11",@ DAL,"L, 124-128",39,4,10,40.0,1,6,16.7,1,1,100.0,1,5,6,2,1,0,2,1,10
"Tue, Jan 9",vs. POR,"W, 84-112",29,9,12,75.0,4,6,66.7,1,2,50.0,2,2,4,0,1,1,1,3,23
"Sat, Jan 6",@ WAS,"W, 121-105",31,4,7,57.1,1,3,33.3,0,0,0.0,2,3,5,2,1,1,0,3,9
