Date,OPP,Score,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OFF,DEF,REB,AST,TO,STL,BLK,PF,PTS
"Wed, Jan 31",@ MIN,"L, 87-121",20,1,2,50.0,0,1,0.0,4,7,57.1,1,3,4,0,0,0,0,1,6
"Wed, Jan 24",vs. PHO,"L, 132-109",5,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0
"Fri, Jan 5",vs. POR,"W, 103-139",14,3,7,42.9,2,3,66.7,0,0,0.0,1,5,6,3,0,0,0,3,8
"Wed, Jan 3",vs. POR,"W, 97-126",8,1,3,33.3,0,0,0.0,3,4,75.0,2,3,5,1,0,0,1,1,5
"Mon, Jan 1",@ UTH,"L, 90-127",7,0,2,0.0,0,1,0.0,0,0,0.0,0,3,3,0,0,0,0,0,0
"Mon, Dec 25",@ PHO,"W, 128-114",0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0
"Sat, Dec 23",vs. SAS,"W, 119-144",12,0,3,0.0,0,1,0.0,0,0,0.0,0,2,2,0,0,0,0,1,0
"Fri, Dec 22",@ HOU,"L, 96-122",30,6,13,46.2,1,4,25.0,7,9,77.8,5,1,6,2,3,1,0,2,20
"Wed, Dec 20",vs. LAC,"L, 120-111",3,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,1,0,0,0,0,0
"Mon, Dec 18",@ DEN,"L, 104-130",20,1,5,20.0,0,2,0.0,0,0,0.0,1,3,4,3,0,0,0,1,2
"Sat, Dec 16",@ POR,"W, 131-120",6,0,1,0.0,0,1,0.0,0,0,0.0,2,3,5,1,0,0,0,0,0
