Date,OPP,Score,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OFF,DEF,REB,AST,TO,STL,BLK,PF,PTS
"Thu, Feb 1",vs. PHI,"L, 127-124",0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0
"Mon, Jan 29",@ BKN,"L, 114-147",8,1,4,25.0,0,0,0.0,0,1,0.0,1,0,1,0,1,0,0,2,2
"Thu, Jan 25",@ WAS,"W, 123-108",1,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0
"Mon, Jan 15",vs. IND,"W, 105-132",3,0,0,0.0,0,0,0.0,0,0,0.0,0,2,2,0,0,0,0,0,0
"Fri, Jan 12",vs. TOR,"W, 113-145",5,2,2,100.0,0,0,0.0,0,0,0.0,2,2,4,0,0,0,0,1,4
"Wed, Jan 10",vs. DEN,"W, 111-124",3,1,1,100.0,0,0,0.0,0,0,0.0,0,2,2,0,2,0,0,0,2
"Fri, Jan 5",@ BOS,"L, 97-126",12,0,4,0.0,0,2,0.0,0,2,0.0,3,4,7,0,1,0,0,1,0
"Mon, Jan 1",vs. DAL,"W, 90-127",4,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,0,0
"Tue, Dec 26",@ SAS,"W, 130-118",2,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0
"Thu, Dec 14",@ POR,"W, 122-114",22,2,7,28.6,0,0,0.0,0,0,0.0,3,1,4,1,2,1,2,3,4
"Wed, Dec 13",vs. NYK,"W, 113-117",5,0,1,0.0,0,0,0.0,0,0,0.0,1,2,3,0,0,0,0,0,0
