Date,OPP,Score,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OFF,DEF,REB,AST,TO,STL,BLK,PF,PTS
"Thu, Feb 1",vs. LAL,"L, 114-105",2,0,1,0.0,0,1,0.0,0,0,0.0,1,0,1,0,0,0,0,0,0
"Tue, Jan 30",vs. IND,"W, 124-129",6,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,1,0
"Mon, Jan 29",vs. NOR,"W, 112-118",11,0,1,0.0,0,1,0.0,0,0,0.0,1,4,5,0,0,0,0,3,0
"Sat, Jan 27",vs. LAC,"L, 115-96",16,2,5,40.0,0,1,0.0,1,2,50.0,1,4,5,2,1,0,0,0,5
"Thu, Jan 25",@ MIA,"W, 143-110",3,2,2,100.0,0,0,0.0,0,0,0.0,1,1,2,0,0,0,0,0,4
"Sun, Jan 21",@ HOU,"W, 116-107",18,3,5,60.0,0,2,0.0,0,0,0.0,1,1,2,3,3,0,1,4,6
"Wed, Jan 17",vs. SAS,"W, 98-117",13,2,5,40.0,0,1,0.0,3,4,75.0,1,3,4,1,1,0,0,0,7
"Mon, Jan 15",@ TOR,"W, 105-96",7,2,4,50.0,1,1,100.0,2,2,100.0,2,1,3,0,0,0,0,1,7
"Sat, Jan 13",vs. HOU,"W, 113-145",9,2,2,100.0,1,1,100.0,0,0,0.0,0,3,3,2,0,1,0,1,5
"Thu, Jan 11",@ MIL,"L, 102-135",17,4,8,50.0,0,3,0.0,5,6,83.3,0,2,2,1,0,0,0,0,13
"Wed, Jan 10",vs. MIN,"W, 120-127",5,0,0,0.0,0,0,0.0,0,0,0.0,0,2,2,0,0,0,0,1,0
