Date,OPP,Score,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OFF,DEF,REB,AST,TO,STL,BLK,PF,PTS
"Wed, Jan 31",@ SAS,"W, 108-98",36,9,18,50.0,2,4,50.0,5,7,71.4,2,7,9,7,1,2,0,1,25
"Mon, Jan 29",@ DAL,"L, 129-131",39,13,25,52.0,4,8,50.0,6,11,54.5,3,6,9,7,3,2,0,3,36
"Sun, Jan 28",vs. PHO,"W, 98-113",36,9,18,50.0,2,5,40.0,6,9,66.7,1,3,4,7,2,0,0,1,26
"Fri, Jan 26",@ MEM,"L, 106-107",34,8,20,40.0,2,9,22.2,9,11,81.8,0,5,5,6,3,2,1,3,27
"Mon, Jan 22",vs. CLE,"L, 126-99",29,6,14,42.9,1,4,25.0,5,9,55.6,0,3,3,6,2,0,0,2,18
"Sun, Jan 21",vs. MIA,"W, 87-105",31,7,14,50.0,3,5,60.0,3,5,60.0,0,10,10,2,2,0,0,2,20
"Fri, Jan 19",vs. PHI,"L, 124-109",32,5,12,41.7,0,1,0.0,4,4,100.0,1,7,8,6,3,0,1,0,14
"Wed, Jan 17",@ ATL,"L, 104-106",38,8,25,32.0,1,5,20.0,9,11,81.8,0,4,4,4,1,2,1,1,26
"Mon, Jan 15",@ NYK,"W, 98-94",33,9,19,47.4,0,2,0.0,2,5,40.0,1,5,6,3,2,0,0,1,20
"Sat, Jan 13",@ OKC,"L, 100-112",36,8,19,42.1,0,4,0.0,4,7,57.1,2,7,9,8,2,0,2,4,20
"Fri, Jan 12",@ MIA,"L, 96-99",36,10,26,38.5,1,7,14.3,4,6,66.7,3,5,8,6,4,0,0,2,25
