Date,OPP,Score,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OFF,DEF,REB,AST,TO,STL,BLK,PF,PTS
"Thu, Feb 1",@ NYK,"L, 105-109",35,8,19,42.1,1,3,33.3,1,2,50.0,4,3,7,5,5,0,1,5,18
"Tue, Jan 30",@ BOS,"L, 124-129",32,9,16,56.3,1,1,100.0,4,4,100.0,4,2,6,2,0,0,0,4,23
"Sun, Jan 28",vs. MEM,"W, 110-116",35,8,13,61.5,0,2,0.0,3,3,100.0,0,6,6,6,1,2,0,3,19
"Fri, Jan 26",vs. PHO,"W, 131-133",33,14,22,63.6,2,3,66.7,1,3,33.3,4,3,7,4,2,2,0,1,31
"Thu, Jan 25",vs. PHI,"W, 122-134",30,9,13,69.2,1,2,50.0,7,10,70.0,3,10,13,10,2,0,0,3,26
"Tue, Jan 23",vs. DEN,"L, 114-109",33,7,16,43.8,0,0,0.0,2,2,100.0,2,8,10,4,1,0,0,1,16
"Sun, Jan 21",@ PHO,"L, 110-117",30,6,14,42.9,1,3,33.3,2,2,100.0,2,2,4,7,3,0,0,6,15
"Fri, Jan 19",@ POR,"L, 115-118",34,9,14,64.3,1,3,33.3,2,6,33.3,0,6,6,3,1,1,0,5,21
"Mon, Jan 15",vs. BOS,"L, 105-96",37,5,15,33.3,0,6,0.0,7,8,87.5,2,3,5,4,0,1,0,1,17
"Fri, Jan 12",@ UTH,"L, 113-145",30,8,14,57.1,5,6,83.3,6,8,75.0,0,4,4,2,2,0,0,1,27
"Tue, Jan 9",@ LAL,"L, 131-132",32,10,17,58.8,3,5,60.0,2,3,66.7,0,4,4,3,1,0,1,2,25
