Date,OPP,Score,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OFF,DEF,REB,AST,TO,STL,BLK,PF,PTS
"Thu, Feb 1",@ UTH,"W, 127-124",18,2,2,100.0,2,2,100.0,2,2,100.0,0,4,4,5,2,0,0,2,8
"Tue, Jan 30",@ GSW,"L, 107-119",28,4,12,33.3,2,4,50.0,2,2,100.0,2,3,5,2,1,2,1,4,12
"Mon, Jan 29",@ POR,"L, 104-130",30,5,10,50.0,0,3,0.0,4,4,100.0,0,1,1,5,2,1,0,2,14
"Sat, Jan 27",@ DEN,"L, 105-111",37,6,12,50.0,1,3,33.3,4,4,100.0,0,4,4,11,4,0,2,3,17
"Thu, Jan 25",@ IND,"L, 122-134",19,1,6,16.7,0,3,0.0,2,3,66.7,0,3,3,5,2,0,1,3,4
"Fri, Jan 19",@ ORL,"W, 124-109",28,2,7,28.6,1,3,33.3,0,0,0.0,1,5,6,4,1,1,2,1,5
"Tue, Jan 16",vs. DEN,"W, 121-126",27,3,7,42.9,2,3,66.7,0,0,0.0,0,2,2,2,0,2,0,2,8
"Mon, Jan 15",vs. HOU,"W, 115-124",29,3,8,37.5,1,4,25.0,4,6,66.7,0,5,5,6,3,1,1,2,11
"Fri, Jan 12",vs. SAC,"W, 93-112",27,2,8,25.0,0,4,0.0,0,0,0.0,0,9,9,7,3,0,0,2,4
"Wed, Jan 10",@ ATL,"L, 132-139",13,3,4,75.0,1,2,50.0,2,2,100.0,1,2,3,2,1,0,0,2,9
"Sat, Jan 6",vs. UTH,"L, 120-109",34,5,13,38.5,2,6,33.3,0,0,0.0,2,2,4,7,0,0,0,0,12
