Date,OPP,Score,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OFF,DEF,REB,AST,TO,STL,BLK,PF,PTS
"Tue, Jan 30",vs. LAL,"W, 122-138",2,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0
"Sun, Jan 28",vs. TOR,"W, 125-126",15,0,2,0.0,0,2,0.0,0,0,0.0,2,1,3,1,1,1,0,1,0
"Fri, Jan 26",vs. DAL,"L, 148-143",5,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0
"Wed, Jan 24",@ GSW,"L, 112-134",22,5,11,45.5,3,6,50.0,0,0,0.0,1,1,2,3,2,1,0,0,13
"Mon, Jan 22",@ SAC,"L, 107-122",16,1,5,20.0,0,2,0.0,0,0,0.0,0,0,0,2,1,1,0,0,2
"Sat, Jan 20",vs. CLE,"L, 116-95",10,2,3,66.7,2,3,66.7,0,0,0.0,0,0,0,0,0,1,0,1,6
"Fri, Jan 19",@ MIA,"W, 109-108",18,4,6,66.7,3,5,60.0,0,0,0.0,0,3,3,2,1,1,0,4,11
"Fri, Jan 12",vs. IND,"L, 126-108",15,1,3,33.3,0,1,0.0,0,0,0.0,1,0,1,0,0,1,0,1,2
"Wed, Jan 10",vs. PHI,"W, 132-139",6,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,2,0
"Sun, Dec 31",@ WAS,"W, 130-126",8,0,1,0.0,0,1,0.0,0,0,0.0,0,2,2,0,0,0,0,0,0
"Fri, Dec 29",vs. SAC,"L, 117-110",11,1,1,100.0,1,1,100.0,0,0,0.0,0,0,0,0,0,0,0,0,3
