Date,OPP,Score,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OFF,DEF,REB,AST,TO,STL,BLK,PF,PTS
"Thu, Feb 1",vs. IND,"W, 105-109",43,5,16,31.3,0,3,0.0,2,4,50.0,8,8,16,0,2,4,2,4,12
"Tue, Jan 30",vs. UTH,"W, 103-118",40,8,13,61.5,0,3,0.0,2,2,100.0,1,4,5,1,0,0,2,3,18
"Mon, Jan 29",@ CHA,"W, 113-92",33,4,6,66.7,1,1,100.0,0,0,0.0,1,4,5,0,0,0,1,4,9
"Sat, Jan 27",vs. MIA,"W, 109-125",31,2,7,28.6,0,0,0.0,0,0,0.0,3,7,10,1,0,1,2,2,4
"Thu, Jan 25",vs. DEN,"W, 84-122",23,1,4,25.0,0,0,0.0,0,0,0.0,6,4,10,3,0,0,1,1,2
"Tue, Jan 23",@ BKN,"W, 108-103",21,3,6,50.0,0,1,0.0,0,0,0.0,4,5,9,2,0,0,0,1,6
"Sat, Jan 20",vs. TOR,"W, 100-126",25,9,10,90.0,0,0,0.0,0,0,0.0,4,7,11,0,3,0,1,4,18
"Thu, Jan 18",vs. WAS,"W, 109-113",9,1,1,100.0,0,0,0.0,0,0,0.0,0,1,1,0,0,1,0,1,2
"Wed, Jan 17",vs. HOU,"W, 94-109",6,0,2,0.0,0,0,0.0,0,0,0.0,1,3,4,0,0,0,1,3,0
"Mon, Jan 15",vs. ORL,"L, 98-94",20,2,4,50.0,0,0,0.0,2,2,100.0,3,2,5,1,1,0,1,0,6
"Sat, Jan 13",@ MEM,"W, 106-94",6,0,0,0.0,0,0,0.0,0,0,0.0,1,0,1,0,1,0,1,0,0
