Date,OPP,Score,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OFF,DEF,REB,AST,TO,STL,BLK,PF,PTS
"Mon, Jan 29",vs. PHI,"W, 104-130",5,0,2,0.0,0,0,0.0,0,0,0.0,1,1,2,0,0,1,0,0,0
"Fri, Jan 26",@ SAS,"L, 100-116",8,1,1,100.0,1,1,100.0,0,0,0.0,0,0,0,1,0,0,0,1,3
"Sun, Jan 21",@ LAL,"L, 110-134",6,2,5,40.0,0,2,0.0,2,2,100.0,1,0,1,0,0,0,0,0,6
"Sun, Jan 14",vs. PHO,"L, 127-116",14,4,5,80.0,3,3,100.0,0,0,0.0,2,3,5,2,1,0,0,2,11
"Fri, Jan 12",@ MIN,"L, 93-116",7,1,2,50.0,0,0,0.0,1,2,50.0,0,1,1,1,0,0,0,0,3
"Thu, Jan 11",@ OKC,"L, 77-139",12,1,5,20.0,1,2,50.0,0,0,0.0,0,3,3,2,0,0,0,0,3
"Tue, Jan 9",@ NYK,"L, 84-112",12,2,5,40.0,0,1,0.0,0,0,0.0,1,4,5,1,1,0,0,0,4
"Fri, Jan 5",@ DAL,"L, 103-139",19,3,5,60.0,1,2,50.0,0,0,0.0,1,2,3,0,2,0,0,3,7
"Sat, Dec 23",@ GSW,"L, 106-126",5,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0,2,0,0,0,0,0
"Wed, Nov 22",vs. UTH,"W, 105-121",6,0,2,0.0,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0
"Tue, Nov 21",@ PHO,"L, 107-120",2,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0,1,0,1,0,0,0
