Date,OPP,Score,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OFF,DEF,REB,AST,TO,STL,BLK,PF,PTS
"Fri, Jan 26",@ CHA,"W, 138-104",8,2,3,66.7,1,2,50.0,0,0,0.0,0,0,0,0,1,1,0,0,5
"Sat, Jan 13",@ BOS,"L, 113-145",8,1,1,100.0,1,1,100.0,0,0,0.0,0,3,3,1,0,0,1,1,3
"Fri, Jan 12",@ DET,"W, 112-110",21,1,3,33.3,1,3,33.3,0,0,0.0,0,4,4,1,1,1,0,0,3
"Fri, Jan 5",vs. MIN,"L, 122-95",8,2,4,50.0,1,2,50.0,0,0,0.0,0,1,1,0,0,0,0,1,5
"Wed, Jan 3",vs. BKN,"W, 101-112",8,0,2,0.0,0,1,0.0,0,0,0.0,0,1,1,1,0,0,0,0,0
"Mon, Jan 1",vs. DET,"W, 113-136",14,3,5,60.0,1,2,50.0,0,0,0.0,0,2,2,2,1,0,0,0,7
"Wed, Dec 27",vs. PHO,"L, 129-113",7,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,1,0,0,0,0,0
"Fri, Dec 15",@ MEM,"W, 103-96",4,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0
"Wed, Dec 13",vs. MEM,"W, 104-117",6,2,4,50.0,2,4,50.0,0,0,0.0,0,0,0,0,0,0,0,0,6
"Wed, Dec 6",vs. OKC,"W, 101-110",6,1,2,50.0,0,1,0.0,1,1,100.0,0,0,0,0,0,0,0,0,3
"Wed, Nov 29",@ DEN,"L, 124-134",12,2,2,100.0,2,2,100.0,0,0,0.0,1,0,1,0,0,0,0,3,6
