Date,OPP,Score,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OFF,DEF,REB,AST,TO,STL,BLK,PF,PTS
"Wed, Jan 31",vs. DAL,"W, 87-121",28,5,9,55.6,0,0,0.0,7,12,58.3,2,4,6,0,2,0,2,4,17
"Mon, Jan 29",@ OKC,"W, 107-101",36,6,6,100.0,0,0,0.0,0,1,0.0,4,14,18,1,3,1,1,0,12
"Sat, Jan 27",@ SAS,"L, 112-113",37,8,9,88.9,0,0,0.0,3,4,75.0,2,5,7,1,1,1,1,4,19
"Thu, Jan 25",@ BKN,"W, 96-94",33,4,9,44.4,0,0,0.0,2,2,100.0,1,12,13,1,1,1,2,3,10
"Wed, Jan 24",@ WAS,"W, 118-107",35,7,11,63.6,0,0,0.0,5,6,83.3,7,9,16,1,0,0,4,4,19
"Mon, Jan 22",vs. CHA,"L, 128-125",39,6,6,100.0,0,0,0.0,1,2,50.0,2,9,11,1,0,0,0,3,13
"Sat, Jan 20",vs. OKC,"L, 102-97",33,1,6,16.7,0,0,0.0,5,8,62.5,4,14,18,2,2,0,0,4,7
"Thu, Jan 18",vs. MEM,"W, 103-118",39,5,10,50.0,0,1,0.0,7,10,70.0,3,7,10,4,3,0,6,3,17
"Wed, Jan 17",@ DET,"W, 124-117",38,8,11,72.7,0,0,0.0,3,4,75.0,5,11,16,2,1,0,1,4,19
"Sun, Jan 14",vs. LAC,"W, 105-109",37,4,5,80.0,0,0,0.0,7,14,50.0,3,15,18,0,1,0,4,4,15
"Fri, Jan 12",vs. POR,"W, 93-116",28,9,11,81.8,0,0,0.0,6,8,75.0,5,12,17,0,1,0,2,2,24
