Date,OPP,Score,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OFF,DEF,REB,AST,TO,STL,BLK,PF,PTS
"Wed, Dec 27",vs. TOR,"L, 132-102",6,1,3,33.3,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,2
"Fri, Dec 22",@ GSW,"L, 118-129",11,3,4,75.0,1,1,100.0,0,1,0.0,0,1,1,1,0,0,1,1,7
"Mon, Nov 20",vs. MIL,"L, 142-129",1,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0
"Wed, Nov 15",vs. DAL,"L, 130-117",2,1,1,100.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,2
"Wed, Nov 8",@ CHA,"W, 132-116",3,1,1,100.0,0,0,0.0,1,1,100.0,0,0,0,0,0,2,0,0,3
"Mon, Nov 6",@ PHI,"L, 128-146",10,3,5,60.0,0,1,0.0,0,0,0.0,1,4,5,3,5,2,0,2,6
"Fri, Nov 3",@ MIA,"L, 114-121",7,2,4,50.0,1,1,100.0,2,3,66.7,0,1,1,2,0,0,1,1,7
"Wed, Nov 1",@ ATL,"L, 121-130",7,2,2,100.0,0,0,0.0,2,2,100.0,0,0,0,1,0,0,1,2,6
"Mon, Oct 30",vs. BOS,"L, 126-107",12,0,2,0.0,0,0,0.0,7,8,87.5,1,0,1,3,1,4,0,1,7
"Wed, Oct 25",@ IND,"L, 120-143",6,0,3,0.0,0,0,0.0,1,2,50.0,0,3,3,1,1,0,0,0,1
