Date,OPP,Score,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OFF,DEF,REB,AST,TO,STL,BLK,PF,PTS
"Tue, Jan 30",vs. LAL,"W, 122-138",35,5,10,50.0,1,5,20.0,7,8,87.5,4,4,8,2,0,1,0,3,18
"Sun, Jan 28",vs. TOR,"W, 125-126",41,8,18,44.4,0,6,0.0,10,15,66.7,7,6,13,3,1,0,0,1,26
"Fri, Jan 26",vs. DAL,"L, 148-143",38,6,13,46.2,2,6,33.3,2,2,100.0,3,4,7,5,0,0,0,3,16
"Wed, Jan 24",@ GSW,"L, 112-134",27,6,12,50.0,3,6,50.0,3,3,100.0,3,4,7,3,0,1,0,0,18
"Mon, Jan 22",@ SAC,"L, 107-122",30,4,11,36.4,2,7,28.6,3,4,75.0,2,5,7,2,0,0,0,1,13
"Sat, Jan 20",vs. CLE,"L, 116-95",30,0,12,0.0,0,6,0.0,0,0,0.0,3,4,7,2,1,0,0,3,0
"Fri, Jan 19",@ MIA,"W, 109-108",36,4,12,33.3,0,5,0.0,6,7,85.7,1,1,2,0,1,0,0,2,14
"Wed, Jan 17",vs. ORL,"W, 104-106",35,1,7,14.3,1,5,20.0,4,4,100.0,2,2,4,0,0,0,0,2,7
"Mon, Jan 15",vs. SAS,"W, 99-109",33,3,9,33.3,1,7,14.3,3,4,75.0,4,1,5,2,0,0,0,3,10
"Sat, Jan 13",vs. WAS,"L, 127-99",27,5,13,38.5,2,7,28.6,4,4,100.0,6,1,7,0,1,4,0,1,16
"Fri, Jan 12",vs. IND,"L, 126-108",31,3,10,30.0,3,7,42.9,8,9,88.9,1,3,4,2,0,1,0,1,17
