Date,OPP,Score,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OFF,DEF,REB,AST,TO,STL,BLK,PF,PTS
"Thu, Feb 1",vs. LAL,"L, 114-105",23,6,11,54.5,5,9,55.6,0,0,0.0,0,3,3,0,0,0,0,1,17
"Tue, Jan 30",vs. IND,"W, 124-129",23,3,5,60.0,3,5,60.0,0,0,0.0,0,2,2,1,2,1,0,3,9
"Mon, Jan 29",vs. NOR,"W, 112-118",26,4,8,50.0,3,7,42.9,0,0,0.0,0,0,0,1,0,1,0,0,11
"Sat, Jan 27",vs. LAC,"L, 115-96",20,2,5,40.0,2,4,50.0,0,0,0.0,0,3,3,1,0,0,1,1,6
"Thu, Jan 25",@ MIA,"W, 143-110",12,2,2,100.0,1,1,100.0,0,0,0.0,0,0,0,1,1,0,0,0,5
"Mon, Jan 22",@ DAL,"W, 119-110",15,2,3,66.7,1,2,50.0,0,0,0.0,1,0,1,0,0,0,0,1,5
"Sun, Jan 21",@ HOU,"W, 116-107",31,3,12,25.0,3,12,25.0,0,0,0.0,2,5,7,6,1,1,1,0,9
"Fri, Jan 19",vs. DEN,"L, 102-100",16,0,1,0.0,0,1,0.0,0,0,0.0,0,1,1,1,0,0,0,2,0
"Wed, Jan 17",vs. SAS,"W, 98-117",20,3,6,50.0,1,4,25.0,0,0,0.0,0,4,4,2,2,0,0,0,7
"Mon, Jan 15",@ TOR,"W, 105-96",16,1,2,50.0,1,1,100.0,0,0,0.0,0,5,5,0,0,0,1,0,3
"Sat, Jan 13",vs. HOU,"W, 113-145",20,2,9,22.2,2,8,25.0,0,0,0.0,0,6,6,0,0,0,0,0,6
