Date,OPP,Score,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OFF,DEF,REB,AST,TO,STL,BLK,PF,PTS
"Thu, Feb 1",@ MEM,"W, 108-101",18,3,6,50.0,3,5,60.0,0,0,0.0,0,2,2,1,0,0,0,1,9
"Wed, Jan 31",vs. DET,"W, 121-128",16,4,6,66.7,3,5,60.0,0,0,0.0,0,2,2,1,0,1,0,1,11
"Mon, Jan 29",vs. LAC,"W, 108-118",7,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,1,0
"Fri, Jan 26",@ MIL,"W, 112-100",17,3,6,50.0,1,4,25.0,0,0,0.0,0,0,0,0,0,0,0,3,7
"Wed, Jan 24",@ MIL,"L, 116-126",27,4,9,44.4,4,9,44.4,0,0,0.0,0,2,2,3,1,0,0,1,12
"Mon, Jan 22",@ ORL,"W, 126-99",31,8,13,61.5,8,13,61.5,2,2,100.0,2,1,3,1,1,1,0,2,26
"Sat, Jan 20",@ ATL,"W, 116-95",30,6,16,37.5,5,14,35.7,1,1,100.0,0,4,4,6,1,0,0,2,18
"Wed, Jan 17",vs. MIL,"W, 95-135",22,4,8,50.0,2,6,33.3,0,0,0.0,3,2,5,5,0,0,0,1,10
"Mon, Jan 15",vs. CHI,"W, 91-109",20,5,7,71.4,4,6,66.7,1,1,100.0,1,2,3,2,0,2,0,4,15
"Thu, Jan 11",vs. BKN,"W, 102-111",32,2,12,16.7,2,11,18.2,0,0,0.0,2,7,9,1,0,1,0,1,6
"Sun, Jan 7",vs. SAS,"W, 115-117",23,5,11,45.5,5,9,55.6,3,3,100.0,0,3,3,3,0,0,0,0,18
