Date,OPP,Score,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OFF,DEF,REB,AST,TO,STL,BLK,PF,PTS
"Wed, Jan 31",@ MIN,"L, 87-121",17,3,8,37.5,0,3,0.0,3,3,100.0,1,2,3,3,2,0,0,0,9
"Mon, Jan 29",vs. ORL,"W, 129-131",5,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0
"Sat, Jan 27",vs. SAC,"L, 120-115",11,3,5,60.0,1,3,33.3,0,0,0.0,1,1,2,1,0,0,0,1,7
"Wed, Jan 17",@ LAL,"L, 110-127",5,0,2,0.0,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0
"Mon, Jan 15",vs. NOR,"W, 120-125",7,0,2,0.0,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,1,0
"Sat, Jan 13",vs. NOR,"L, 118-108",12,1,3,33.3,1,2,50.0,0,0,0.0,0,0,0,0,0,1,0,3,3
"Thu, Jan 11",vs. NYK,"W, 124-128",10,0,1,0.0,0,1,0.0,0,0,0.0,0,1,1,0,1,0,0,0,0
"Tue, Jan 9",vs. MEM,"L, 120-103",10,1,2,50.0,0,1,0.0,0,0,0.0,0,0,0,0,1,0,0,1,2
"Sun, Jan 7",vs. MIN,"W, 108-115",12,0,3,0.0,0,2,0.0,0,0,0.0,0,3,3,0,1,1,0,1,0
"Fri, Jan 5",vs. POR,"W, 103-139",20,4,9,44.4,1,4,25.0,0,0,0.0,1,1,2,1,0,0,0,2,9
"Wed, Jan 3",vs. POR,"W, 97-126",15,0,1,0.0,0,0,0.0,0,0,0.0,0,1,1,2,0,0,0,0,0
