Date,OPP,Score,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OFF,DEF,REB,AST,TO,STL,BLK,PF,PTS
"Wed, Jan 31",vs. PHO,"L, 136-120",30,6,10,60.0,2,4,50.0,2,3,66.7,0,2,2,5,0,0,0,1,16
"Mon, Jan 29",vs. UTH,"W, 114-147",26,0,5,0.0,0,2,0.0,2,2,100.0,2,0,2,8,0,2,0,3,2
"Sat, Jan 27",vs. HOU,"W, 104-106",35,3,11,27.3,0,4,0.0,4,6,66.7,0,2,2,9,2,1,1,3,10
"Thu, Jan 25",vs. MIN,"L, 96-94",32,5,10,50.0,3,6,50.0,1,1,100.0,0,2,2,2,0,0,0,3,14
"Tue, Jan 23",vs. NYK,"L, 108-103",19,0,4,0.0,0,4,0.0,0,0,0.0,0,0,0,4,1,0,0,1,0
"Sun, Jan 21",@ LAC,"L, 114-125",33,6,9,66.7,4,6,66.7,0,0,0.0,1,1,2,7,1,0,1,2,16
"Fri, Jan 19",@ LAL,"W, 130-112",33,5,11,45.5,4,8,50.0,5,5,100.0,0,3,3,4,1,1,0,1,19
"Wed, Jan 17",@ POR,"L, 103-105",32,5,8,62.5,3,4,75.0,6,7,85.7,0,2,2,7,1,1,0,2,19
"Mon, Jan 15",vs. MIA,"L, 96-95",20,1,6,16.7,1,6,16.7,0,0,0.0,0,0,0,1,1,3,0,2,3
"Thu, Jan 11",@ CLE,"L, 102-111",16,1,3,33.3,0,2,0.0,0,0,0.0,0,2,2,3,0,0,0,2,2
"Sun, Jan 7",vs. POR,"L, 134-127",28,1,6,16.7,1,4,25.0,2,2,100.0,1,2,3,5,1,0,0,0,5
