Date,OPP,Score,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OFF,DEF,REB,AST,TO,STL,BLK,PF,PTS
"Thu, Feb 1",@ BOS,"W, 114-105",38,5,10,50.0,1,2,50.0,0,0,0.0,0,8,8,2,0,1,1,2,11
"Tue, Jan 30",@ ATL,"L, 122-138",25,3,7,42.9,1,4,25.0,0,0,0.0,0,2,2,0,1,1,0,1,7
"Mon, Jan 29",@ HOU,"L, 119-135",25,2,6,33.3,1,4,25.0,0,0,0.0,0,3,3,1,2,0,1,1,5
"Sat, Jan 27",@ GSW,"W, 145-144",24,0,2,0.0,0,1,0.0,0,0,0.0,0,3,3,1,1,1,0,4,0
"Thu, Jan 25",vs. CHI,"W, 132-141",30,5,8,62.5,4,7,57.1,0,0,0.0,0,4,4,2,0,2,0,3,14
"Tue, Jan 23",@ LAC,"L, 116-127",33,4,10,40.0,2,6,33.3,1,1,100.0,0,3,3,2,1,2,2,2,11
"Fri, Jan 19",vs. BKN,"L, 130-112",29,3,7,42.9,2,4,50.0,2,2,100.0,0,3,3,2,3,1,0,1,10
"Wed, Jan 17",vs. DAL,"W, 110-127",21,3,8,37.5,0,3,0.0,3,5,60.0,0,1,1,1,0,0,0,4,9
"Mon, Jan 15",vs. OKC,"W, 105-112",31,1,6,16.7,1,5,20.0,0,0,0.0,0,2,2,3,0,0,1,2,3
"Sat, Jan 13",@ UTH,"L, 125-132",30,5,8,62.5,2,4,50.0,0,0,0.0,0,1,1,1,0,0,1,3,12
"Thu, Jan 11",vs. PHO,"L, 127-109",28,4,10,40.0,3,8,37.5,0,0,0.0,1,5,6,2,0,0,0,0,11
