Date,OPP,Score,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OFF,DEF,REB,AST,TO,STL,BLK,PF,PTS
"Wed, Jan 31",@ WAS,"W, 125-109",31,2,6,33.3,0,3,0.0,2,2,100.0,1,2,3,2,0,0,0,1,6
"Mon, Jan 29",@ CLE,"L, 108-118",19,2,4,50.0,1,2,50.0,0,0,0.0,0,0,0,1,0,2,0,2,5
"Sat, Jan 27",@ BOS,"W, 115-96",24,6,12,50.0,1,3,33.3,1,2,50.0,3,3,6,3,0,0,0,2,14
"Fri, Jan 26",@ TOR,"W, 127-107",29,3,6,50.0,0,1,0.0,0,0,0.0,1,2,3,2,0,0,0,1,6
"Tue, Jan 23",vs. LAL,"W, 116-127",23,7,10,70.0,2,4,50.0,1,2,50.0,1,0,1,1,2,1,0,4,17
"Sun, Jan 21",vs. BKN,"W, 114-125",26,4,6,66.7,2,3,66.7,3,3,100.0,0,3,3,2,0,1,0,1,13
"Tue, Jan 16",vs. OKC,"W, 117-128",24,3,6,50.0,1,2,50.0,0,0,0.0,2,1,3,4,1,0,2,4,7
"Sun, Jan 14",@ MIN,"L, 105-109",19,1,2,50.0,0,1,0.0,0,0,0.0,2,1,3,0,0,0,0,3,2
"Fri, Jan 12",@ MEM,"W, 128-119",26,3,8,37.5,1,4,25.0,0,0,0.0,2,3,5,0,1,0,0,0,7
"Wed, Jan 10",vs. TOR,"W, 120-126",24,5,5,100.0,3,3,100.0,0,0,0.0,2,0,2,1,1,0,0,1,13
"Mon, Jan 8",vs. PHO,"W, 111-138",28,5,9,55.6,3,6,50.0,1,2,50.0,3,2,5,3,1,0,0,2,14
