Date,OPP,Score,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OFF,DEF,REB,AST,TO,STL,BLK,PF,PTS
"Wed, Jan 31",vs. SAC,"W, 106-115",30,1,8,12.5,1,4,25.0,0,0,0.0,1,4,5,10,1,2,1,1,3
"Mon, Jan 29",vs. PHO,"L, 118-105",27,8,14,57.1,4,6,66.7,1,1,100.0,0,2,2,3,1,0,1,2,21
"Sat, Jan 27",@ NYK,"L, 109-125",32,4,12,33.3,0,2,0.0,2,2,100.0,0,5,5,7,2,0,0,1,10
"Thu, Jan 25",vs. BOS,"L, 143-110",29,3,10,30.0,1,4,25.0,0,0,0.0,0,2,2,3,0,1,0,2,7
"Wed, Jan 24",vs. MEM,"L, 105-96",29,3,11,27.3,1,5,20.0,2,2,100.0,2,2,4,5,3,2,0,2,9
"Mon, Jan 22",@ MIN,"W, 128-125",35,5,12,41.7,0,6,0.0,1,2,50.0,0,2,2,4,4,0,0,1,11
"Sat, Jan 20",vs. PHI,"L, 97-89",36,9,18,50.0,0,5,0.0,1,5,20.0,0,9,9,6,3,1,0,2,19
"Fri, Jan 19",vs. SAS,"W, 120-124",34,7,18,38.9,1,7,14.3,2,2,100.0,1,5,6,8,3,1,0,0,17
"Wed, Jan 17",@ NOR,"L, 112-132",32,9,15,60.0,7,11,63.6,0,0,0.0,1,1,2,4,1,1,1,1,25
"Sun, Jan 14",@ MIA,"L, 87-104",35,8,23,34.8,4,11,36.4,6,6,100.0,2,3,5,7,1,0,0,2,26
"Fri, Jan 12",@ SAS,"L, 99-135",28,6,14,42.9,3,9,33.3,1,2,50.0,0,2,2,2,1,2,1,2,16
