Date,OPP,Score,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OFF,DEF,REB,AST,TO,STL,BLK,PF,PTS
"Tue, Jan 30",@ CHI,"W, 118-107",32,8,13,61.5,0,1,0.0,0,0,0.0,4,2,6,6,1,0,0,5,16
"Sun, Jan 28",@ ATL,"L, 125-126",22,2,3,66.7,0,0,0.0,0,0,0.0,1,3,4,1,0,0,0,2,4
"Fri, Jan 26",vs. LAC,"L, 127-107",24,6,6,100.0,0,0,0.0,0,2,0.0,4,2,6,4,0,1,1,3,12
"Mon, Jan 22",vs. MEM,"L, 108-100",26,5,8,62.5,0,0,0.0,2,2,100.0,2,4,6,4,0,3,0,1,12
"Sat, Jan 20",@ NYK,"L, 100-126",15,2,4,50.0,0,0,0.0,0,0,0.0,1,1,2,1,0,2,0,2,4
"Thu, Jan 18",vs. CHI,"L, 116-110",15,3,4,75.0,0,0,0.0,0,0,0.0,1,1,2,2,0,0,0,2,6
"Wed, Jan 17",vs. MIA,"W, 97-121",28,2,6,33.3,0,0,0.0,1,2,50.0,2,6,8,2,0,1,0,3,5
"Mon, Jan 15",vs. BOS,"L, 105-96",16,0,4,0.0,0,1,0.0,0,0,0.0,2,2,4,7,0,2,0,2,0
"Fri, Jan 12",@ UTH,"L, 113-145",12,0,1,0.0,0,0,0.0,0,0,0.0,0,2,2,2,0,0,0,5,0
"Wed, Jan 10",@ LAC,"L, 120-126",23,4,5,80.0,0,1,0.0,0,0,0.0,2,2,4,3,2,2,0,1,8
"Tue, Jan 9",@ LAL,"L, 131-132",29,5,9,55.6,0,1,0.0,0,0,0.0,1,4,5,4,0,3,1,4,10
