Date,OPP,Score,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OFF,DEF,REB,AST,TO,STL,BLK,PF,PTS
"Sat, Jan 27",vs. NOR,"W, 117-141",3,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,1,0,0,0,0
"Wed, Jan 24",vs. CLE,"W, 116-126",1,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0
"Wed, Jan 17",@ CLE,"L, 95-135",6,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,1,1,0,1,1,0
"Thu, Jan 11",vs. BOS,"W, 102-135",9,3,5,60.0,0,0,0.0,0,0,0.0,1,0,1,1,2,0,1,4,6
"Mon, Jan 8",vs. UTH,"L, 132-116",1,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0
"Wed, Jan 3",@ IND,"L, 130-142",2,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,2,0
"Wed, Dec 27",@ BKN,"W, 144-122",1,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,2,0,0,0,0,0
"Tue, Dec 19",vs. SAS,"W, 119-132",1,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,1,0,0,0,0,0
"Sun, Dec 17",vs. HOU,"W, 119-128",0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0
"Sat, Dec 16",vs. DET,"W, 114-146",5,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,0,0
"Wed, Dec 13",vs. IND,"W, 126-140",1,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,1,0,0,0,0
