Date,OPP,Score,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OFF,DEF,REB,AST,TO,STL,BLK,PF,PTS
"Wed, Jan 31",vs. SAC,"W, 106-115",3,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,0,0
"Thu, Jan 25",vs. BOS,"L, 143-110",13,3,4,75.0,0,1,0.0,1,2,50.0,3,2,5,2,0,0,0,1,7
"Wed, Jan 24",vs. MEM,"L, 105-96",7,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,1,0
"Wed, Jan 17",@ TOR,"L, 97-121",4,1,1,100.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,1,2
"Mon, Jan 15",@ BKN,"W, 96-95",5,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,1,0,0,0,0,0
"Fri, Jan 5",@ PHO,"L, 97-113",2,0,0,0.0,0,0,0.0,0,0,0.0,0,2,2,0,0,0,0,0,0
"Mon, Jan 1",@ LAC,"L, 104-121",3,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,1,0,0,0,0,0
"Wed, Dec 20",@ ORL,"W, 115-106",17,5,7,71.4,0,0,0.0,2,2,100.0,3,2,5,1,2,0,0,1,12
"Sat, Dec 16",vs. CHI,"W, 116-118",6,1,2,50.0,0,0,0.0,0,0,0.0,0,2,2,0,0,0,1,2,2
"Thu, Dec 14",vs. CHI,"L, 124-116",12,2,2,100.0,0,0,0.0,2,2,100.0,0,2,2,1,0,0,0,1,6
"Wed, Dec 13",vs. CHA,"W, 104-115",16,5,7,71.4,0,0,0.0,1,1,100.0,6,3,9,0,1,0,0,2,11
