Date,OPP,Score,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OFF,DEF,REB,AST,TO,STL,BLK,PF,PTS
"Wed, Jan 31",@ MIN,"L, 87-121",32,5,16,31.3,2,10,20.0,2,2,100.0,0,3,3,2,1,2,0,0,14
"Mon, Jan 29",vs. ORL,"W, 129-131",37,11,17,64.7,5,9,55.6,9,11,81.8,0,8,8,1,1,1,0,2,36
"Sat, Jan 27",vs. SAC,"L, 120-115",36,8,17,47.1,3,9,33.3,0,0,0.0,0,4,4,1,1,0,0,2,19
"Fri, Jan 26",@ ATL,"W, 148-143",32,3,12,25.0,3,9,33.3,4,4,100.0,1,3,4,3,2,0,0,2,13
"Wed, Jan 24",vs. PHO,"L, 132-109",34,6,16,37.5,4,10,40.0,1,2,50.0,0,5,5,2,1,2,0,1,17
"Mon, Jan 22",vs. BOS,"L, 119-110",32,8,13,61.5,4,7,57.1,0,0,0.0,0,2,2,1,0,0,0,2,20
"Wed, Jan 17",@ LAL,"L, 110-127",28,5,17,29.4,0,7,0.0,2,2,100.0,2,2,4,1,4,1,0,2,12
"Mon, Jan 15",vs. NOR,"W, 120-125",41,11,23,47.8,9,15,60.0,10,10,100.0,0,2,2,2,4,1,0,0,41
"Sat, Jan 13",vs. NOR,"L, 118-108",39,8,17,47.1,3,8,37.5,5,6,83.3,0,4,4,0,0,0,0,3,24
"Thu, Jan 11",vs. NYK,"W, 124-128",39,10,20,50.0,6,13,46.2,6,7,85.7,2,4,6,4,2,2,0,2,32
"Tue, Jan 9",vs. MEM,"L, 120-103",30,3,6,50.0,2,3,66.7,1,1,100.0,0,3,3,2,1,0,0,3,9
