Date,OPP,Score,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OFF,DEF,REB,AST,TO,STL,BLK,PF,PTS
"Fri, Jan 26",vs. PHO,"W, 131-133",18,1,5,20.0,0,0,0.0,0,0,0.0,0,1,1,8,0,1,0,1,2
"Thu, Jan 25",vs. PHI,"W, 122-134",24,4,6,66.7,0,0,0.0,0,0,0.0,1,3,4,5,3,2,0,4,8
"Tue, Jan 23",vs. DEN,"L, 114-109",21,7,11,63.6,1,1,100.0,2,2,100.0,0,1,1,7,3,0,0,3,17
"Sun, Jan 21",@ PHO,"L, 110-117",12,2,8,25.0,0,0,0.0,0,0,0.0,0,1,1,3,1,2,0,0,4
"Fri, Jan 19",@ POR,"L, 115-118",13,1,4,25.0,0,0,0.0,0,0,0.0,0,0,0,2,2,0,0,1,2
"Thu, Jan 18",@ SAC,"W, 126-121",33,9,14,64.3,0,0,0.0,2,3,66.7,0,1,1,10,4,1,0,2,20
"Mon, Jan 15",@ UTH,"L, 105-132",19,3,6,50.0,0,0,0.0,2,2,100.0,1,4,5,5,3,1,0,1,8
"Sun, Jan 14",@ DEN,"L, 109-117",19,2,9,22.2,0,2,0.0,1,2,50.0,1,1,2,5,1,0,0,0,5
"Fri, Jan 12",@ ATL,"W, 126-108",25,3,5,60.0,0,0,0.0,0,0,0.0,0,4,4,14,5,3,1,0,6
"Wed, Jan 10",vs. WAS,"W, 104-112",22,7,10,70.0,0,0,0.0,0,0,0.0,0,2,2,8,0,2,0,2,14
"Mon, Jan 8",vs. BOS,"W, 131-133",25,6,12,50.0,0,2,0.0,0,0,0.0,1,3,4,7,2,2,0,1,12
