Date,OPP,Score,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OFF,DEF,REB,AST,TO,STL,BLK,PF,PTS
"Sat, Dec 16",@ MIA,"L, 116-118",14,5,7,71.4,4,5,80.0,2,3,66.7,2,0,2,0,0,0,0,0,16
"Thu, Dec 14",@ MIA,"W, 124-116",23,2,7,28.6,0,3,0.0,1,1,100.0,1,2,3,0,0,1,0,3,5
"Tue, Dec 12",vs. DEN,"L, 114-106",19,1,4,25.0,0,2,0.0,0,0,0.0,2,3,5,1,2,1,0,4,2
"Mon, Dec 11",@ MIL,"L, 129-133",29,2,9,22.2,1,5,20.0,2,4,50.0,1,4,5,1,0,0,1,6,7
"Fri, Dec 8",@ SAS,"W, 121-112",23,5,8,62.5,5,7,71.4,1,2,50.0,4,4,8,0,0,2,0,3,16
"Wed, Dec 6",vs. CHA,"W, 100-111",17,2,4,50.0,2,2,100.0,0,0,0.0,3,1,4,2,0,1,0,2,6
"Sat, Dec 2",vs. NOR,"W, 118-124",19,5,6,83.3,3,4,75.0,2,2,100.0,3,3,6,2,1,0,1,3,15
"Thu, Nov 30",vs. MIL,"W, 113-120",27,4,10,40.0,2,6,33.3,0,0,0.0,3,5,8,2,2,1,1,4,10
"Tue, Nov 28",@ BOS,"L, 97-124",13,1,1,100.0,1,1,100.0,0,0,0.0,0,1,1,0,0,1,1,0,3
"Sun, Nov 26",@ BKN,"L, 109-118",20,1,2,50.0,0,0,0.0,2,2,100.0,2,1,3,0,2,0,0,0,4
"Fri, Nov 24",@ TOR,"L, 108-121",19,1,3,33.3,0,1,0.0,3,4,75.0,2,3,5,1,1,0,1,2,5
