Date,OPP,Score,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OFF,DEF,REB,AST,TO,STL,BLK,PF,PTS
"Wed, Jan 31",@ MIA,"L, 106-115",18,2,6,33.3,1,4,25.0,0,0,0.0,2,2,4,2,0,1,0,1,5
"Mon, Jan 29",@ MEM,"W, 103-94",24,4,7,57.1,2,5,40.0,0,0,0.0,1,0,1,1,2,1,0,3,10
"Sat, Jan 27",@ DAL,"W, 120-115",17,0,2,0.0,0,1,0.0,1,2,50.0,0,4,4,1,1,0,1,2,1
"Thu, Jan 25",@ GSW,"W, 134-133",15,3,7,42.9,2,4,50.0,0,0,0.0,0,0,0,2,0,1,0,1,8
"Mon, Jan 22",vs. ATL,"W, 107-122",16,4,8,50.0,2,5,40.0,0,0,0.0,2,5,7,0,1,0,0,0,10
"Thu, Jan 18",vs. IND,"L, 126-121",19,0,2,0.0,0,2,0.0,0,0,0.0,1,2,3,2,0,1,0,0,0
"Tue, Jan 16",@ PHO,"L, 117-119",14,0,2,0.0,0,2,0.0,0,0,0.0,0,2,2,0,0,1,0,1,0
"Sun, Jan 14",@ MIL,"L, 142-143",33,3,8,37.5,3,7,42.9,0,0,0.0,1,6,7,2,0,0,0,3,9
"Fri, Jan 12",@ PHI,"L, 93-112",22,2,8,25.0,1,5,20.0,0,0,0.0,2,1,3,0,0,0,0,1,5
"Wed, Jan 10",@ CHA,"W, 123-98",21,2,4,50.0,2,4,50.0,2,4,50.0,1,4,5,2,1,0,0,1,8
"Tue, Jan 9",@ DET,"W, 131-110",32,1,4,25.0,1,3,33.3,3,4,75.0,1,7,8,3,1,0,0,2,6
