Date,OPP,Score,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OFF,DEF,REB,AST,TO,STL,BLK,PF,PTS
"Mon, Jan 22",@ ORL,"W, 126-99",21,2,6,33.3,0,0,0.0,0,2,0.0,1,4,5,1,1,1,1,1,4
"Sat, Jan 20",@ ATL,"W, 116-95",14,3,4,75.0,0,1,0.0,0,0,0.0,0,5,5,2,0,0,1,0,6
"Wed, Jan 17",vs. MIL,"W, 95-135",20,3,4,75.0,0,0,0.0,0,0,0.0,2,7,9,3,2,0,0,0,6
"Mon, Jan 15",vs. CHI,"W, 91-109",14,2,4,50.0,0,0,0.0,0,0,0.0,1,1,2,1,0,0,0,0,4
"Thu, Jan 11",vs. BKN,"W, 102-111",10,0,0,0.0,0,0,0.0,1,4,25.0,1,1,2,0,1,1,0,3,1
"Sun, Jan 7",vs. SAS,"W, 115-117",17,3,4,75.0,0,0,0.0,2,4,50.0,2,2,4,2,1,0,0,4,8
"Fri, Jan 5",vs. WAS,"W, 90-114",17,4,5,80.0,0,0,0.0,0,2,0.0,2,2,4,2,2,0,0,6,8
"Wed, Jan 3",vs. WAS,"W, 101-140",19,3,7,42.9,0,0,0.0,1,3,33.3,3,6,9,4,3,0,1,1,7
"Mon, Jan 1",@ TOR,"L, 121-124",14,0,0,0.0,0,0,0.0,0,0,0.0,2,1,3,1,0,0,0,3,0
"Fri, Dec 29",vs. MIL,"L, 119-111",8,1,2,50.0,0,0,0.0,0,2,0.0,2,4,6,1,0,0,0,2,2
"Wed, Dec 27",@ DAL,"W, 113-110",13,1,3,33.3,0,0,0.0,0,0,0.0,1,0,1,0,2,0,0,4,2
