Date,OPP,Score,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OFF,DEF,REB,AST,TO,STL,BLK,PF,PTS
"Wed, Jan 31",vs. SAC,"W, 106-115",31,4,9,44.4,2,4,50.0,4,6,66.7,1,7,8,8,2,0,0,1,14
"Mon, Jan 29",vs. PHO,"L, 118-105",34,5,18,27.8,5,12,41.7,2,2,100.0,0,6,6,4,0,0,0,1,17
"Sat, Jan 27",@ NYK,"L, 109-125",35,7,18,38.9,4,11,36.4,0,0,0.0,0,1,1,3,1,0,0,2,18
"Thu, Jan 25",vs. BOS,"L, 143-110",29,7,14,50.0,5,10,50.0,0,0,0.0,0,3,3,6,1,1,0,0,19
"Wed, Jan 24",vs. MEM,"L, 105-96",38,8,15,53.3,2,6,33.3,0,0,0.0,0,6,6,3,4,0,0,1,18
"Sun, Jan 21",@ ORL,"L, 87-105",33,4,14,28.6,4,11,36.4,0,0,0.0,1,0,1,2,2,1,0,1,12
"Fri, Jan 19",vs. ATL,"L, 109-108",35,10,19,52.6,4,9,44.4,1,1,100.0,0,6,6,2,2,1,0,4,25
"Wed, Jan 17",@ TOR,"L, 97-121",32,7,20,35.0,2,9,22.2,0,0,0.0,1,6,7,3,3,0,0,2,16
"Mon, Jan 15",@ BKN,"W, 96-95",38,11,22,50.0,4,11,36.4,3,4,75.0,1,10,11,2,4,0,0,3,29
"Sun, Jan 14",vs. CHA,"W, 87-104",28,7,15,46.7,4,9,44.4,3,4,75.0,1,6,7,4,3,1,0,1,21
"Wed, Jan 10",vs. OKC,"L, 128-120",37,7,21,33.3,1,5,20.0,2,4,50.0,0,5,5,6,1,3,0,1,17
