Date,OPP,Score,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OFF,DEF,REB,AST,TO,STL,BLK,PF,PTS
"Thu, Feb 1",@ NYK,"L, 105-109",22,6,10,60.0,2,6,33.3,1,1,100.0,0,4,4,5,1,0,2,1,15
"Tue, Jan 30",@ BOS,"L, 124-129",22,5,16,31.3,1,5,20.0,2,2,100.0,3,0,3,10,1,1,0,1,13
"Fri, Jan 19",@ POR,"L, 115-118",35,6,14,42.9,2,7,28.6,7,9,77.8,0,2,2,17,0,0,0,1,21
"Mon, Jan 8",vs. BOS,"W, 131-133",13,3,5,60.0,1,3,33.3,0,0,0.0,0,2,2,6,2,0,0,1,7
"Sat, Jan 6",vs. BOS,"L, 118-101",35,5,17,29.4,2,9,22.2,5,5,100.0,1,5,6,7,4,5,0,1,17
"Fri, Jan 5",vs. ATL,"W, 116-150",25,4,6,66.7,2,4,50.0,0,0,0.0,1,7,8,18,2,2,1,1,10
"Wed, Jan 3",vs. MIL,"W, 130-142",34,10,20,50.0,5,11,45.5,6,6,100.0,0,2,2,12,0,1,3,1,31
"Mon, Jan 1",@ MIL,"W, 122-113",37,11,22,50.0,1,7,14.3,3,3,100.0,1,8,9,11,2,1,1,0,26
"Sat, Dec 30",vs. NYK,"W, 126-140",36,8,17,47.1,2,10,20.0,4,4,100.0,1,4,5,23,2,2,1,0,22
"Thu, Dec 28",@ CHI,"W, 120-104",37,7,17,41.2,6,13,46.2,1,2,50.0,0,3,3,20,0,2,1,2,21
"Tue, Dec 26",@ HOU,"W, 123-117",38,13,21,61.9,7,13,53.8,0,1,0.0,1,5,6,10,3,1,0,0,33
