Date,OPP,Score,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OFF,DEF,REB,AST,TO,STL,BLK,PF,PTS
"Wed, Jan 31",vs. LAC,"L, 125-109",29,2,9,22.2,0,3,0.0,0,0,0.0,0,4,4,7,3,0,0,1,4
"Mon, Jan 29",@ SAS,"W, 118-113",32,7,16,43.8,1,4,25.0,0,0,0.0,1,1,2,9,1,2,1,0,15
"Sat, Jan 27",@ DET,"W, 118-104",30,5,12,41.7,1,4,25.0,1,1,100.0,0,1,1,9,1,2,1,1,12
"Thu, Jan 25",vs. UTH,"L, 123-108",34,5,12,41.7,2,4,50.0,0,0,0.0,0,6,6,14,0,1,0,1,12
"Wed, Jan 24",vs. MIN,"L, 118-107",32,2,7,28.6,0,2,0.0,1,2,50.0,0,2,2,6,0,0,0,1,5
"Sun, Jan 21",vs. DEN,"L, 113-104",31,6,14,42.9,3,4,75.0,0,0,0.0,1,1,2,13,1,1,0,0,15
"Sat, Jan 20",vs. SAS,"L, 131-127",28,5,12,41.7,1,2,50.0,2,2,100.0,0,2,2,6,1,1,0,2,13
"Thu, Jan 18",@ NYK,"L, 109-113",37,1,6,16.7,0,3,0.0,0,0,0.0,0,4,4,15,1,3,0,2,2
"Mon, Jan 15",vs. DET,"L, 129-117",31,9,19,47.4,4,10,40.0,0,0,0.0,2,4,6,7,0,1,0,0,22
"Sat, Jan 13",@ ATL,"W, 127-99",26,4,9,44.4,0,3,0.0,0,0,0.0,1,2,3,7,0,1,1,0,8
"Wed, Jan 10",@ IND,"L, 104-112",34,5,12,41.7,1,5,20.0,0,0,0.0,1,3,4,4,2,0,1,2,11
