Date,OPP,Score,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OFF,DEF,REB,AST,TO,STL,BLK,PF,PTS
"Wed, Jan 31",vs. DEN,"W, 100-105",17,4,8,50.0,1,3,33.3,3,5,60.0,0,2,2,5,2,0,0,0,12
"Mon, Jan 29",vs. MIN,"L, 107-101",4,0,1,0.0,0,1,0.0,0,0,0.0,0,1,1,0,1,0,0,0,0
"Fri, Jan 26",@ NOR,"W, 107-83",17,1,2,50.0,0,0,0.0,1,1,100.0,0,2,2,1,2,0,0,0,3
"Wed, Jan 24",@ SAS,"W, 140-114",14,1,2,50.0,0,1,0.0,0,0,0.0,0,1,1,3,3,1,0,0,2
"Tue, Jan 23",vs. POR,"W, 109-111",7,0,1,0.0,0,0,0.0,1,2,50.0,0,0,0,0,1,0,0,0,1
"Sat, Jan 20",@ MIN,"W, 102-97",8,0,2,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0
"Thu, Jan 18",@ UTH,"W, 134-129",9,2,2,100.0,0,0,0.0,2,2,100.0,0,0,0,1,1,0,0,1,6
"Tue, Jan 16",@ LAC,"L, 117-128",11,3,4,75.0,0,1,0.0,1,1,100.0,0,1,1,2,0,0,0,0,7
"Mon, Jan 15",@ LAL,"L, 105-112",15,2,4,50.0,2,2,100.0,0,0,0.0,0,1,1,1,0,0,0,2,6
"Sat, Jan 13",vs. ORL,"W, 100-112",11,3,5,60.0,1,2,50.0,0,0,0.0,0,2,2,1,1,1,0,1,7
"Thu, Jan 11",vs. POR,"W, 77-139",9,0,0,0.0,0,0,0.0,2,2,100.0,0,1,1,2,0,0,0,0,2
