Date,OPP,Score,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OFF,DEF,REB,AST,TO,STL,BLK,PF,PTS
"Wed, Jan 31",vs. DAL,"W, 87-121",5,1,1,100.0,0,0,0.0,0,0,0.0,0,2,2,0,0,0,0,1,2
"Wed, Jan 24",@ WAS,"W, 118-107",1,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,1,0,0,0
"Thu, Jan 18",vs. MEM,"W, 103-118",1,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0
"Fri, Jan 12",vs. POR,"W, 93-116",8,2,2,100.0,0,0,0.0,0,0,0.0,0,0,0,0,0,2,0,2,4
"Fri, Jan 5",@ HOU,"W, 122-95",3,0,0,0.0,0,0,0.0,0,0,0.0,0,2,2,0,0,0,1,0,0
"Tue, Dec 26",@ OKC,"L, 106-129",5,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,1,0,0,0,0
"Wed, Dec 20",@ PHI,"L, 113-127",2,1,1,100.0,0,0,0.0,0,0,0.0,0,0,0,0,1,1,0,0,2
"Sat, Dec 16",vs. IND,"W, 109-127",3,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0
"Thu, Dec 14",@ DAL,"W, 119-101",2,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,1,0
"Mon, Dec 11",@ NOR,"L, 107-121",2,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,0,0
"Fri, Dec 8",@ MEM,"W, 127-103",3,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,1,0,0,0,0,0
