Date,OPP,Score,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OFF,DEF,REB,AST,TO,STL,BLK,PF,PTS
"Wed, Jan 31",@ BKN,"W, 136-120",1,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0
"Wed, Jan 24",@ DAL,"W, 132-109",7,1,1,100.0,0,0,0.0,0,0,0.0,0,2,2,0,0,0,0,1,2
"Thu, Jan 11",@ LAL,"W, 127-109",5,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,0,1,0,0,1,0
"Mon, Jan 8",@ LAC,"L, 111-138",5,0,2,0.0,0,2,0.0,1,2,50.0,0,0,0,0,0,0,0,1,1
"Fri, Jan 5",vs. MIA,"W, 97-113",9,1,3,33.3,0,1,0.0,0,0,0.0,1,0,1,0,0,0,0,0,2
"Mon, Jan 1",vs. POR,"W, 88-109",6,1,2,50.0,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,0,2
"Wed, Dec 27",@ HOU,"W, 129-113",2,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0
"Fri, Dec 22",@ SAC,"L, 105-120",12,1,4,25.0,0,3,0.0,0,0,0.0,0,2,2,0,0,0,0,2,2
"Fri, Dec 15",vs. NYK,"L, 139-122",8,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0
"Wed, Dec 13",vs. BKN,"L, 116-112",7,0,2,0.0,0,2,0.0,0,0,0.0,1,0,1,0,0,0,0,2,0
"Tue, Dec 12",vs. GSW,"W, 116-119",20,1,4,25.0,1,4,25.0,0,0,0.0,0,1,1,1,1,1,1,2,3
