Date,OPP,Score,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OFF,DEF,REB,AST,TO,STL,BLK,PF,PTS
"Thu, Jan 18",@ TOR,"W, 116-110",24,3,7,42.9,1,3,33.3,1,1,100.0,0,2,2,3,2,0,0,4,8
"Mon, Jan 15",@ CLE,"L, 91-109",35,7,14,50.0,3,6,50.0,0,0,0.0,0,4,4,4,3,0,0,3,17
"Sat, Jan 13",@ SAS,"W, 122-116",36,3,8,37.5,1,5,20.0,3,4,75.0,0,6,6,7,2,1,0,3,10
"Fri, Jan 12",vs. GSW,"L, 140-131",35,9,15,60.0,4,8,50.0,3,3,100.0,0,8,8,7,1,0,1,3,25
"Wed, Jan 10",vs. HOU,"W, 119-124",41,8,15,53.3,4,8,50.0,5,6,83.3,1,12,13,7,4,3,1,5,25
"Mon, Jan 8",@ CHA,"W, 119-112",36,2,8,25.0,2,6,33.3,3,4,75.0,1,2,3,5,2,0,2,1,9
"Fri, Jan 5",vs. CHA,"W, 91-104",30,6,11,54.5,1,5,20.0,2,3,66.7,0,5,5,4,2,0,0,1,15
"Tue, Nov 28",@ BOS,"L, 97-124",25,1,9,11.1,0,3,0.0,0,0,0.0,1,1,2,4,0,2,0,1,2
"Sun, Nov 26",@ BKN,"L, 109-118",39,8,18,44.4,1,5,20.0,3,4,75.0,0,6,6,4,0,0,0,1,20
"Fri, Nov 24",@ TOR,"L, 108-121",38,16,23,69.6,4,8,50.0,0,0,0.0,0,4,4,3,5,1,0,4,36
"Mon, Nov 20",vs. MIA,"L, 118-100",35,5,9,55.6,2,6,33.3,1,1,100.0,0,3,3,5,1,0,0,1,13
