Date,OPP,Score,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OFF,DEF,REB,AST,TO,STL,BLK,PF,PTS
"Wed, Jan 31",@ OKC,"L, 100-105",9,1,4,25.0,0,0,0.0,0,0,0.0,2,1,3,1,1,0,0,1,2
"Thu, Jan 25",@ NYK,"L, 84-122",5,0,2,0.0,0,1,0.0,0,0,0.0,0,1,1,0,0,0,0,0,0
"Sun, Jan 21",@ WAS,"W, 113-104",5,1,2,50.0,0,0,0.0,0,0,0.0,1,0,1,2,2,1,0,3,2
"Fri, Jan 12",vs. NOR,"W, 113-125",2,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0
"Wed, Jan 10",@ UTH,"L, 111-124",6,1,2,50.0,1,1,100.0,2,2,100.0,0,0,0,1,0,1,0,2,5
"Sun, Jan 7",vs. DET,"W, 114-131",2,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0
"Fri, Jan 5",vs. ORL,"L, 122-120",11,1,1,100.0,0,0,0.0,1,2,50.0,1,1,2,0,2,1,0,4,3
"Thu, Jan 4",@ GSW,"W, 130-127",6,1,1,100.0,0,0,0.0,0,0,0.0,1,2,3,1,0,0,0,0,2
"Mon, Jan 1",vs. CHA,"W, 93-111",21,1,5,20.0,0,2,0.0,0,0,0.0,1,2,3,1,2,0,3,2,2
"Fri, Dec 29",vs. OKC,"L, 119-93",3,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0
"Thu, Dec 28",vs. MEM,"W, 105-142",6,2,3,66.7,0,0,0.0,0,0,0.0,1,2,3,0,1,0,0,2,4
