Date,OPP,Score,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OFF,DEF,REB,AST,TO,STL,BLK,PF,PTS
"Mon, Jan 29",@ BOS,"L, 112-118",31,11,18,61.1,0,1,0.0,4,5,80.0,0,4,4,3,3,2,0,0,26
"Sat, Jan 27",@ MIL,"L, 117-141",29,8,14,57.1,0,0,0.0,7,7,100.0,1,1,2,2,5,1,0,0,23
"Tue, Jan 23",vs. UTH,"W, 124-153",27,8,12,66.7,0,0,0.0,1,2,50.0,1,2,3,11,2,0,0,2,17
"Fri, Jan 19",vs. PHO,"L, 123-109",33,11,17,64.7,1,1,100.0,1,3,33.3,1,2,3,1,2,0,1,2,24
"Wed, Jan 17",vs. CHA,"W, 112-132",27,5,11,45.5,0,0,0.0,3,4,75.0,2,3,5,9,2,3,0,1,13
"Mon, Jan 15",@ DAL,"L, 120-125",32,12,17,70.6,0,0,0.0,6,11,54.5,0,1,1,3,3,1,0,2,30
"Fri, Jan 12",@ DEN,"L, 113-125",35,13,22,59.1,0,0,0.0,4,6,66.7,2,4,6,5,1,0,1,1,30
"Wed, Jan 10",@ GSW,"W, 141-105",30,8,12,66.7,0,0,0.0,3,5,60.0,1,4,5,7,4,1,0,2,19
"Fri, Jan 5",vs. LAC,"L, 111-95",19,3,9,33.3,0,0,0.0,6,8,75.0,2,4,6,1,1,1,1,3,12
"Wed, Jan 3",@ MIN,"W, 117-106",29,11,15,73.3,0,0,0.0,5,6,83.3,1,3,4,6,2,1,1,3,27
"Tue, Jan 2",vs. BKN,"W, 85-112",26,5,9,55.6,0,0,0.0,0,0,0.0,1,2,3,5,4,0,1,3,10
